hs,bm,bk,ppn,ppnbm
0713.60.90,5,0,11,0
0713.90,,,,
0713.90.10,0,0,0,0
0713.90.90,5,0,11,0
07.14,,,,
0714.10,,,,
0714.10.11,5,0,11,0
0714.10.19,5,0,11 ,0
0714.10.91,5,0,0,0
0714.10.99,5,0,11 ,0
0714.20,,,,
0714.20.10,5,0,0,0
0714.20.90,5,0,11 ,0
0714.30,,,,
0714.30.10,5,0,0,0
0714.30.90,5,0,11 ,0
0714.40,,,,
0714.40.10,5,0,0,0
0714.40.90,5,0,11 ,0
0714.50,,,,
0714.50.10,5,0,0,0
0714.50.90,5,0,11 ,0
0714.90,,,,
0714.90.11,5,0,0,0
0714.90.19,5,0,0,0
0714.90.91,5,0,11,0
0714.90.99,5,0,11,0
08.01,,,,
0801.11.00,5,0,11,0
0801.12.00,5,0,11,0
0801.19,,,,
0801.19.10,5,0,11,0
0801.19.90,5,0,11,0
0801.21.00,5,0,11,0
0801.22.00,5,0,11,0
0801.31.00,5,0,11,0
0801.32.00,5,0,11,0
08.02,,,,
0802.11.00,5,0,11,0
0802.12,,,,
0802.12.10,5,0,11,0
0802.12.90,5,0,11,0
0802.21.00,5,0,11,0
0802.22.00,5,0,11,0
0802.31.00,5,0,11,0
0802.32.00,5,0,11,0
0802.41.00,5,0,11,0
